flow_id,id_from,id_to
0034_0060,34,7802
0034_0065,34,7802
0034_0066,34,7802
0034_0067,34,7802
0034_0076,34,988
0034_0082,34,7802
0034_0087,34,7802
0034_0101,34,7802
0034_0103,34,7802
0034_0107,34,7802
0034_0123,34,7802
0034_0124,34,7802
0034_0143,34,7802
0034_0173,34,7802
0034_0243,34,7802
0034_0244,34,7802
0034_0264,34,7802
0034_0276,34,7802
0034_0956,34,7802
0034_0957,34,957
0034_0962,34,7802
0034_0965,34,7802
0034_0967,34,7802
0034_0969,34,7802
0034_0977,34,7802
0034_6019,34,7802
0034_6020,34,7802
0034_7802,34,7802
0040_6006,40,6006
0044_6028,44,6028
0044_6029,44,6029
0052_0076,52,988
0077_0056,77,922
0077_6019,77,6019
0077_6023,77,6023
0087_0103,87,957
0127_0025,127,986
0127_0033,127,986
0127_0035,127,986
0127_0037,127,986
0127_0046,127,986
0127_0050,127,986
0127_0057,127,986
0127_0060,127,986
0127_0065,127,986
0127_0067,127,986
0127_0087,127,986
0127_0101,127,986
0127_0103,127,986
0127_0107,127,986
0127_0123,127,986
0127_0124,127,986
0127_0126,127,986
0127_0956,127,986
0127_0957,127,957
0127_0986,127,986
0127_6064,127,986
0127_6065,127,986
0141_6011,141,6011
0145_6012,145,6012
0211_6014,211,6014
0211_6015,211,6015
0213_6023,213,6023
0213_6040,213,6040
0213_6042,213,6042
0214_6000,214,6000
0214_6027,214,6027
0217_0001,217,900
0217_0025,217,7803
0217_0029,217,7803
0217_0031,217,7803
0217_0032,217,997
0217_0033,217,7803
0217_0035,217,7803
0217_0036,217,902
0217_0037,217,7803
0217_0038,217,902
0217_0040,217,905
0217_0044,217,920
0217_0045,217,917
0217_0046,217,7803
0217_0048,217,7803
0217_0051,217,910
0217_0055,217,7803
0217_0056,217,7803
0217_0057,217,7803
0217_0058,217,7803
0217_0059,217,906
0217_0060,217,964
0217_0061,217,997
0217_0064,217,926
0217_0065,217,7803
0217_0066,217,919
0217_0067,217,7803
0217_0068,217,902
0217_0070,217,900
0217_0071,217,926
0217_0076,217,7803
0217_0077,217,7803
0217_0079,217,7803
0217_0081,217,926
0217_0082,217,928
0217_0087,217,7803
0217_0101,217,7803
0217_0103,217,7803
0217_0104,217,926
0217_0107,217,7803
0217_0108,217,906
0217_0122,217,926
0217_0123,217,7803
0217_0124,217,7803
0217_0126,217,906
0217_0141,217,926
0217_0143,217,7803
0217_0145,217,926
0217_0147,217,908
0217_0168,217,926
0217_0173,217,7803
0217_0174,217,906
0217_0209,217,7803
0217_0211,217,926
0217_0213,217,7803
0217_0214,217,960
0217_0216,217,216
0217_0236,217,7803
0217_0237,217,906
0217_0243,217,7803
0217_0244,217,919
0217_0257,217,7803
0217_0264,217,7803
0217_0270,217,960
0217_0272,217,7803
0217_0276,217,7803
0217_0281,217,7803
0217_0282,217,960
0217_0283,217,7803
0217_0284,217,920
0217_0286,217,7803
0217_0287,217,7803
0217_0900,217,900
0217_0906,217,906
0217_0911,217,926
0217_0912,217,926
0217_0913,217,926
0217_0914,217,926
0217_0916,217,926
0217_0926,217,926
0217_0928,217,928
0217_0957,217,7803
0217_0959,217,7803
0217_0960,217,960
0217_0964,217,964
0217_0992,217,900
0217_6000,217,960
0217_6006,217,905
0217_6010,217,960
0217_6011,217,926
0217_6012,217,926
0217_6013,217,926
0217_6014,217,926
0217_6015,217,926
0217_6019,217,7803
0217_6023,217,7803
0217_6025,217,7803
0217_6027,217,960
0217_6028,217,920
0217_6029,217,920
0217_6031,217,7803
0217_6032,217,7803
0217_6033,217,7803
0217_6034,217,906
0217_6035,217,926
0217_6036,217,906
0217_6037,217,902
0217_6039,217,960
0217_6040,217,7803
0217_6041,217,960
0217_6042,217,7803
0217_6043,217,900
0217_6044,217,7803
0217_6046,217,900
0217_6050,217,917
0217_6054,217,960
0217_6055,217,902
0217_6056,217,900
0217_6057,217,900
0217_6059,217,997
0217_6060,217,900
0217_6064,217,7803
0217_6065,217,7803
0217_6068,217,997
0217_6069,217,7803
0217_6070,217,7803
0217_6987,217,7803
0217_6988,217,7803
0217_6989,217,7803
0217_6990,217,906
0217_6992,217,7803
0217_6993,217,7803
0217_6997,217,7803
0217_6998,217,906
0217_7000,217,906
0217_7001,217,919
0217_7002,217,7002
0217_7802,217,7803
0217_7803,217,7803
0217_7806,217,960
0217_7808,217,997
0224_0056,224,7800
0224_0257,224,7800
0224_0272,224,7800
0224_6044,224,7800
0231_0029,231,980
0231_0216,231,980
0235_0001,235,900
0235_0025,235,7803
0235_0029,235,7803
0235_0031,235,7803
0235_0032,235,997
0235_0033,235,7803
0235_0035,235,7803
0235_0036,235,902
0235_0037,235,7803
0235_0038,235,902
0235_0040,235,905
0235_0044,235,920
0235_0045,235,917
0235_0046,235,7803
0235_0048,235,7803
0235_0050,235,7803
0235_0051,235,910
0235_0055,235,7803
0235_0056,235,7803
0235_0057,235,7803
0235_0058,235,7803
0235_0059,235,906
0235_0060,235,7803
0235_0061,235,997
0235_0063,235,902
0235_0064,235,926
0235_0065,235,7803
0235_0066,235,919
0235_0067,235,7803
0235_0068,235,902
0235_0070,235,900
0235_0071,235,926
0235_0076,235,7803
0235_0077,235,7803
0235_0079,235,7803
0235_0081,235,926
0235_0082,235,906
0235_0087,235,7803
0235_0101,235,7803
0235_0103,235,7803
0235_0104,235,926
0235_0107,235,7803
0235_0108,235,906
0235_0122,235,926
0235_0123,235,7803
0235_0124,235,7803
0235_0126,235,906
0235_0130,235,906
0235_0141,235,926
0235_0143,235,7803
0235_0145,235,926
0235_0147,235,908
0235_0154,235,906
0235_0168,235,926
0235_0169,235,902
0235_0173,235,7803
0235_0174,235,906
0235_0209,235,7803
0235_0211,235,926
0235_0213,235,7803
0235_0214,235,7803
0235_0236,235,7803
0235_0237,235,906
0235_0243,235,7803
0235_0244,235,919
0235_0257,235,7803
0235_0264,235,7803
0235_0270,235,7803
0235_0272,235,7803
0235_0276,235,7803
0235_0282,235,7803
0235_0284,235,920
0235_0286,235,7803
0235_0287,235,7803
0235_0289,235,7803
0235_0900,235,900
0235_0901,235,900
0235_0906,235,906
0235_0907,235,906
0235_0909,235,909
0235_0911,235,926
0235_0912,235,926
0235_0913,235,926
0235_0914,235,926
0235_0915,235,909
0235_0916,235,926
0235_0919,235,905
0235_0925,235,925
0235_0926,235,926
0235_0928,235,906
0235_0929,235,900
0235_0940,235,7803
0235_0955,235,900
0235_0956,235,900
0235_0957,235,7803
0235_0959,235,7803
0235_0978,235,7803
0235_0988,235,7803
0235_0997,235,906
0235_6000,235,7803
0235_6006,235,905
0235_6007,235,906
0235_6010,235,7803
0235_6011,235,926
0235_6012,235,926
0235_6013,235,926
0235_6014,235,926
0235_6015,235,926
0235_6016,235,900
0235_6019,235,7803
0235_6023,235,7803
0235_6025,235,7803
0235_6027,235,7803
0235_6028,235,920
0235_6029,235,920
0235_6031,235,7803
0235_6034,235,906
0235_6035,235,926
0235_6036,235,906
0235_6037,235,902
0235_6039,235,7803
0235_6040,235,7803
0235_6041,235,7803
0235_6042,235,7803
0235_6043,235,900
0235_6044,235,7803
0235_6045,235,917
0235_6046,235,900
0235_6050,235,917
0235_6054,235,7803
0235_6055,235,902
0235_6056,235,900
0235_6059,235,997
0235_6060,235,900
0235_6064,235,7803
0235_6065,235,7803
0235_6067,235,906
0235_6068,235,997
0235_6069,235,7803
0235_6070,235,7803
0235_6990,235,906
0235_6998,235,906
0235_7000,235,906
0235_7001,235,919
0235_7802,235,7803
0235_7803,235,7803
0241_0001,241,900
0241_0025,241,919
0241_0029,241,7803
0241_0031,241,990
0241_0032,241,997
0241_0033,241,986
0241_0035,241,919
0241_0036,241,902
0241_0037,241,919
0241_0038,241,902
0241_0040,241,905
0241_0044,241,920
0241_0045,241,917
0241_0046,241,919
0241_0048,241,919
0241_0050,241,919
0241_0051,241,910
0241_0055,241,919
0241_0056,241,919
0241_0057,241,919
0241_0058,241,919
0241_0059,241,919
0241_0060,241,919
0241_0061,241,997
0241_0064,241,926
0241_0065,241,919
0241_0066,241,919
0241_0067,241,919
0241_0068,241,902
0241_0070,241,900
0241_0071,241,926
0241_0076,241,919
0241_0077,241,7803
0241_0079,241,981
0241_0081,241,926
0241_0082,241,928
0241_0087,241,919
0241_0101,241,919
0241_0103,241,919
0241_0104,241,926
0241_0107,241,919
0241_0108,241,906
0241_0122,241,926
0241_0123,241,919
0241_0124,241,919
0241_0126,241,906
0241_0130,241,906
0241_0141,241,926
0241_0143,241,919
0241_0145,241,926
0241_0147,241,908
0241_0154,241,906
0241_0168,241,926
0241_0169,241,906
0241_0173,241,919
0241_0174,241,906
0241_0189,241,926
0241_0209,241,7803
0241_0211,241,926
0241_0213,241,919
0241_0214,241,960
0241_0236,241,990
0241_0237,241,906
0241_0243,241,919
0241_0244,241,919
0241_0257,241,919
0241_0264,241,7803
0241_0270,241,960
0241_0272,241,7803
0241_0276,241,7803
0241_0282,241,960
0241_0283,241,7803
0241_0284,241,920
0241_0286,241,7803
0241_0900,241,900
0241_0906,241,906
0241_0909,241,909
0241_0911,241,926
0241_0912,241,926
0241_0913,241,926
0241_0914,241,926
0241_0916,241,926
0241_0919,241,919
0241_0921,241,906
0241_0923,241,919
0241_0925,241,925
0241_0926,241,926
0241_0928,241,928
0241_0929,241,7803
0241_0937,241,919
0241_0939,241,919
0241_0957,241,919
0241_0959,241,919
0241_0960,241,960
0241_0961,241,919
0241_0968,241,919
0241_0985,241,7803
0241_0989,241,919
0241_6000,241,960
0241_6006,241,905
0241_6007,241,906
0241_6010,241,960
0241_6011,241,926
0241_6012,241,926
0241_6013,241,926
0241_6014,241,926
0241_6015,241,926
0241_6016,241,900
0241_6019,241,919
0241_6023,241,7803
0241_6025,241,919
0241_6026,241,7803
0241_6027,241,960
0241_6028,241,920
0241_6029,241,920
0241_6031,241,919
0241_6032,241,919
0241_6033,241,919
0241_6034,241,7803
0241_6035,241,926
0241_6036,241,906
0241_6037,241,902
0241_6039,241,960
0241_6040,241,7803
0241_6041,241,960
0241_6042,241,7803
0241_6043,241,900
0241_6044,241,919
0241_6045,241,917
0241_6046,241,900
0241_6050,241,917
0241_6054,241,960
0241_6055,241,902
0241_6056,241,900
0241_6059,241,997
0241_6060,241,900
0241_6064,241,919
0241_6065,241,919
0241_6066,241,917
0241_6068,241,997
0241_6069,241,7803
0241_6070,241,7803
0241_6987,241,7803
0241_6988,241,7803
0241_6989,241,7803
0241_6990,241,906
0241_6991,241,7803
0241_6992,241,7803
0241_6993,241,7803
0241_6995,241,7803
0241_6996,241,7803
0241_6998,241,906
0241_7000,241,906
0241_7001,241,919
0241_7802,241,919
0241_7803,241,7803
0241_7806,241,919
0241_7808,241,997
0241_7810,241,926
0247_0001,247,900
0247_0025,247,7803
0247_0029,247,7803
0247_0031,247,7803
0247_0032,247,997
0247_0033,247,7803
0247_0035,247,7803
0247_0036,247,902
0247_0037,247,7803
0247_0038,247,902
0247_0040,247,905
0247_0044,247,920
0247_0045,247,917
0247_0046,247,7803
0247_0048,247,7803
0247_0050,247,900
0247_0051,247,910
0247_0055,247,7803
0247_0056,247,7803
0247_0057,247,7803
0247_0058,247,7803
0247_0059,247,906
0247_0060,247,7803
0247_0061,247,997
0247_0063,247,902
0247_0064,247,926
0247_0065,247,7803
0247_0066,247,919
0247_0067,247,7803
0247_0068,247,902
0247_0070,247,900
0247_0071,247,926
0247_0076,247,7803
0247_0077,247,7803
0247_0079,247,7803
0247_0081,247,926
0247_0082,247,906
0247_0087,247,7803
0247_0101,247,7803
0247_0103,247,7803
0247_0104,247,926
0247_0107,247,7803
0247_0108,247,906
0247_0122,247,926
0247_0123,247,7803
0247_0124,247,7803
0247_0126,247,906
0247_0130,247,906
0247_0141,247,926
0247_0143,247,7803
0247_0145,247,926
0247_0147,247,7803
0247_0168,247,926
0247_0173,247,7803
0247_0174,247,906
0247_0209,247,7803
0247_0211,247,926
0247_0213,247,7803
0247_0214,247,7803
0247_0236,247,7803
0247_0237,247,906
0247_0243,247,7803
0247_0244,247,919
0247_0257,247,7803
0247_0264,247,7803
0247_0270,247,7803
0247_0276,247,7803
0247_0284,247,920
0247_0286,247,7803
0247_0900,247,900
0247_0906,247,906
0247_0911,247,926
0247_0912,247,926
0247_0913,247,925
0247_0914,247,926
0247_0925,247,925
0247_0926,247,926
0247_0957,247,7803
0247_0985,247,7803
0247_0996,247,996
0247_6000,247,7803
0247_6006,247,905
0247_6007,247,906
0247_6011,247,926
0247_6012,247,926
0247_6013,247,926
0247_6014,247,926
0247_6015,247,926
0247_6016,247,900
0247_6019,247,7803
0247_6027,247,7803
0247_6028,247,920
0247_6029,247,920
0247_6031,247,7803
0247_6034,247,906
0247_6035,247,926
0247_6036,247,906
0247_6037,247,902
0247_6039,247,7803
0247_6041,247,7803
0247_6043,247,900
0247_6044,247,7803
0247_6045,247,917
0247_6046,247,926
0247_6050,247,917
0247_6054,247,7803
0247_6055,247,902
0247_6056,247,900
0247_6059,247,997
0247_6060,247,900
0247_6064,247,7803
0247_6065,247,7803
0247_6068,247,997
0247_6069,247,7803
0247_6070,247,7803
0247_6998,247,906
0247_7000,247,906
0247_7001,247,919
0247_7802,247,7803
0249_0050,249,962
0257_6044,257,6044
0262_0056,262,922
0262_0257,262,257
0262_0272,262,7800
0262_6031,262,922
0262_6032,262,922
0262_6033,262,922
0267_0033,267,983
0267_0058,267,983
0267_0077,267,77
0267_0126,267,983
0267_0143,267,983
0267_0213,267,983
0267_0214,267,983
0267_0270,267,983
0267_6000,267,983
0267_6023,267,983
0267_6027,267,6027
0267_6040,267,983
0267_6042,267,983
0273_0029,273,929
0273_0052,273,52
0273_0058,273,929
0273_0076,273,929
0273_0077,273,929
0273_0126,273,929
0273_0143,273,929
0273_0173,273,929
0273_0216,273,929
0273_0276,273,929
0273_0289,273,929
0273_0929,273,929
0273_0959,273,929
0273_0995,273,929
0273_6019,273,929
0274_0029,274,980
0274_0216,274,980
0277_0048,277,992
0277_0058,277,992
0277_0077,277,992
0277_0173,277,992
0277_0959,277,992
0306_0001,306,900
0331_0024,331,981
0331_0029,331,981
0331_0050,331,981
0331_0055,331,981
0331_0060,331,981
0331_0065,331,981
0331_0079,331,981
0331_0143,331,981
